Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Latitude,Longitude
1005446,110009555542,MIDSTREAM ENERGY PARTNERS NORTH COLES LEVEE GAS PLANT,TUPMAN,CA,93276,9224 TUPMAN ROAD,KERN COUNTY,211130,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",28876.672,28707.6,150,37.07,-120.87
1001886,110071159940,Loma Linda University,Loma Linda,CA,92354,11100 Anderson Street,SAN BERNARDINO COUNTY,611310,C,Other,61736.32,61673.3,28.75,35.28,-119.31
1000490,110035420112,Long Beach Generating Station,LONG BEACH,CA,90802,2665 SEASIDE BOULEVARD,LOS ANGELES COUNTY,221112,D,Power Plants,13954.448,13940.2,6.5,34.05,-117.25
1001984,110001200851,Los Angeles International Airport (LAX),Los Angeles,CA,90045,275 Center Way,LOS ANGELES COUNTY,488119,C,Other,29000.44,28970.3,13.75,33.76,-118.22
1006627,110071161537,Los Angeles Refinery (LAR),CARSON,CA,90810,2350 E. 223rd Street,LOS ANGELES COUNTY,324110,"C,P,PP,Y","Chemicals,Refineries,Suppliers of CO2",6038424.346,6011846.2,17011.75,33.94,-118.40
1000175,110013666425,Los Esteros Critical Energy Fac,SAN JOSE,CA,95134,800 THOMAS FOON CHEW WAY,SANTA CLARA COUNTY,221112,D,Power Plants,138455.188,138314.9,64,33.82,-118.23
1001366,110002929706,"Los Medanos Energy Center, LLC",PITTSBURG,CA,94565,750 EAST THIRD ST,CONTRA COSTA COUNTY,221112,"C,D",Power Plants,1398435.616,1397070,623,37.43,-121.93
1003980,110043796005,MARTINEZ COGEN LIMITED PARTNER,MARTINEZ,CA,94553,550 Solano Way,CONTRA COSTA COUNTY,221112,C,Power Plants,257400.68,257134.9,121.25,38.03,-121.87
1001804,110000483245,MARTINEZ REFINING COMPANY LLC,MARTINEZ,CA,94553,3485 PACHECO BLVD,CONTRA COSTA COUNTY,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",2596720.662,2587583.4,4155,38.02,-122.07
1002541,110028037363,MCKITTRICK LIMITED,BAKERSFIELD,CA,93308,34759 LENCIONI AVE,KERN COUNTY,221112,D,Power Plants,9465.364,9455.5,4.5,38.02,-122.12
1005355,110017396414,MIDWAY-SUNSET COGENERATION CO.,FELLOWS,CA,93224,3466 CROCKER SPRGS RD,KERN COUNTY,221112,C,Power Plants,25511.104,25484.8,12,35.45,-119.09
1006293,110043813530,MILLIKEN SANITARY LANDFILL,ONTARIO,CA,91761,2050 SOUTH MILLIKEN AVENUE,SAN BERNARDINO COUNTY,562212,HH,Waste,23295.75,,23295.75,35.23,-119.63
1000904,110005996636,MORNING STAR PACKING CO (Williams),WILLIAMS,CA,95987,2211 OLD HWY 99,COLUSA COUNTY,311421,C,Other,128913.664,128780.5,60.75,34.04,-117.56
1000457,110000525030,Magnolia,BURBANK,CA,91502,164 WEST MAGNOLIA BOULEVARD,LOS ANGELES COUNTY,221112,"C,D",Power Plants,430634.004,430196.7,199.5,39.13,-122.13
1000458,110065719958,"Malaga Power, LLC",FRESNO,CA,93725,2611 E NORTH AVE,FRESNO COUNTY,926130,D,Power Plants,13220.952,13207.8,6,34.18,-118.32
1007318,110028012219,Malburg Generating Station,VERNON,CA,90058,4963 South Soto ST,LOS ANGELES COUNTY,221112,D,Power Plants,265936.664,265666.5,123.25,36.69,-119.74
1000051,110070059908,"Mariposa Energy, LLC",Byron,CA,94514,4887 Bruns Road,ALAMEDA COUNTY,221112,D,Power Plants,50609.012,50557.5,23.5,34.00,-118.22
1011303,110043331864,Marsh Landing Generating Station,Antioch,CA,94509,3201-C Wilbur Avenue,CONTRA COSTA COUNTY,221112,"C,D",Power Plants,158607.612,158446.5,73.5,37.80,-121.60
1007390,110070560801,Martinez Renewable Fuel Facility,MARTINEZ,CA,94553,150 SOLANO WAY,CONTRA COSTA COUNTY,324110,"C,P,PP,Y","Chemicals,Refineries,Suppliers of CO2",18730.924,17551.2,1153.5,38.01,-121.76
1000806,110023012648,Metcalf Energy Center,Coyote,CA,95013,1 BLANCHARD RD,SANTA CLARA COUNTY,221112,D,Power Plants,937325.344,936378.4,432,38.03,-122.07
1013980,110042155306,Metropolitan State Hospital,Norwalk,CA,90650,11401 Bloomfield Ave,LOS ANGELES COUNTY,622210,C,Other,4284.084,4279.7,2,37.22,-121.74
1003918,110028037461,Mid-Valley Sanitary Landfill,Rialto,CA,92377,2390 North Alder Avenue,SAN BERNARDINO COUNTY,562212,HH,Waste,106841,,106841,33.92,-118.06
1000545,110040575981,"Midway Peaking, LLC",FIREBAUGH,CA,93622,43627 WEST PANOCHE ROAD,FRESNO COUNTY,221112,D,Power Plants,14889.844,14874.5,7,34.14,-117.42
1000447,110000609994,Miramar Energy Facility,SAN DIEGO,CA,92121,6897 CONSOLIDATED WAY,SAN DIEGO COUNTY,221112,D,Power Plants,11278.808,11267.3,5.25,36.65,-120.58
1005662,110070081921,Mitsubishi Cement Corp Cushenbury Cement Plant,Lucerne Valley,CA,92356,5808 State Highway 18,SAN BERNARDINO COUNTY,327310,"C,H",Minerals,1126409.484,1122857,1218.25,32.88,-117.17
1004550,110070087686,Monterey Regional Waste Management District,Marina,CA,93933,14201 Del Monte Blvd,MONTEREY COUNTY,562212,"C,HH",Waste,265776.266,0.1,265711.5,34.44,-116.89
1001440,110071160064,Moss Landing,MOSS LANDING,CA,95039,7301 State Highway 1,MONTEREY COUNTY,221112,D,Power Plants,2000308.476,1998178.4,971.75,36.70,-121.79
1001451,110024530364,Mountainview Generating Station,REDLANDS,CA,92374,2492 WEST SAN BERNARDINO AVE,SAN BERNARDINO COUNTY,221112,"C,D",Power Plants,824124.196,823287.4,381.75,36.80,-121.78
1006642,110071162504,NATIONAL CEMENT CO OF CALIFORNIA INC,Lebec,CA,93243,,KERN COUNTY,327310,"C,H",Minerals,862052.158,858373.5,1385.25,34.08,-117.24
1004052,110006529514,NEAL ROAD RECYCLING AND WASTE FACILITY,PARADISE,CA,95969,1023 NEAL ROAD,BUTTE COUNTY,562212,HH,Waste,19086.5,,19086.5,34.82,-118.75
1006179,110006533117,NEWBY ISLAND LANDFILL,MILPITAS,CA,95035,1601 DIXON LANDING ROAD,SANTA CLARA COUNTY,562212,HH,Waste,153206.75,,153206.75,39.68,-121.73
1007558,110009550066,NORTH MIRAMAR SANITARY LANDFILL,SAN DIEGO,CA,92111,5180 CONVOY STREET,SAN DIEGO COUNTY,562212,HH,Waste,3419.75,,3419.75,37.46,-121.94
1007749,110000528643,NPCA COMBUSTION TURBINE PROJECT #2,LODI,CA,95242,12745 N THORNTON RD,SAN JOAQUIN COUNTY,221112,D,Power Plants,13399.4,13385.7,6.25,32.84,-117.15
1005938,110018885759,"New-Indy Ontario, LLC",ONTARIO,CA,91761,5100 JURUPA ST,SAN BERNARDINO COUNTY,322130,C,Pulp and Paper,216173.336,215950.3,101.75,38.09,-121.39
1006048,110070336950,New-Indy Oxnard LLC,OXNARD,CA,93033,5936 PERKINS ROAD,VENTURA COUNTY,322130,C,Pulp and Paper,116365.912,116245.9,54.75,34.05,-117.54
1010139,110063180828,Newport Fab LLC (dba TowerJazz),Newport Beach,CA,92660,4321 Jamboree Road,ORANGE COUNTY,334413,"C,I",Other,97337.01182,12375.7,5.75,34.14,-119.18
1000541,110040573732,Niland Gas Turbine Plant,NILAND,CA,92257,402 EAST BEAL ROAD,IMPERIAL COUNTY,221112,D,Power Plants,47482.224,47434,22,33.66,-117.86
1014201,110000781805,Northrop Grumman Marine Systems,Sunnyvale,CA,94088,"401 East Hendy Avenue, MS 16-1",SANTA CLARA COUNTY,333611,C,Other,28477.792,28448.2,13.5,33.24,-115.50
1002320,110013978384,OLINDA ALPHA LANDFILL,BREA,CA,92823,1942 VALENCIA AVE,ORANGE COUNTY,562212,HH,Waste,440492.25,,440492.25,37.38,-122.02
1001971,110000477396,OLS ENERGY CHINO,CHINO,CA,91708,5601 EUCALYPTUS AVE.,SAN BERNARDINO COUNTY,221112,C,Power Plants,10513.512,10503.1,4.75,33.94,-117.84
1008030,110000832243,OTAY LANDFILL,CHULA VISTA,CA,91911,1700 MAXWELL ROAD,SAN DIEGO COUNTY,562212,HH,Waste,121002,,121002,33.99,-117.68
1002007,110000485421,OWENS-BROCKWAY GLASS CONTAINER INC.,TRACY,CA,95376,14700 W SCHULTE RD.,SAN JOAQUIN COUNTY,327213,"C,N",Minerals,88630,88561.5,31.25,32.61,-117.01
